index,Equity(1 [XLK]),Equity(2 [XLF]),Equity(3 [XLE]),Equity(4 [XLB]),Equity(5 [XLY]),Equity(6 [XLP]),cash
2011-12-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1631.95,9420.6
2011-12-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1624.5,9420.6
2012-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,1967.45,1622.95,7468.6
2012-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0,1983.0,1619.45,7468.6
2012-01-05 00:00:00+00:00,0.0,0.0,0.0,0.0,1999.5,1618.45,7468.6
2012-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0,2002.45,1607.95,7468.6
2012-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,1999.5,1610.45,7468.6
2012-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,2012.5,1616.0,7468.6
2012-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,2015.5,1609.0,7468.6
2012-01-12 00:00:00+00:00,0.0,0.0,0.0,0.0,2021.5,1608.45,7468.6
2012-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0,2019.0,1606.95,7468.6
2012-01-17 00:00:00+00:00,0.0,0.0,0.0,0.0,2024.5,1612.95,7468.6
2012-01-18 00:00:00+00:00,0.0,0.0,0.0,0.0,2056.95,1616.5,7468.6
2012-01-19 00:00:00+00:00,0.0,0.0,0.0,0.0,2075.0,1619.45,7468.6
2012-01-20 00:00:00+00:00,0.0,0.0,0.0,0.0,2058.0,1620.0,7468.6
2012-01-23 00:00:00+00:00,0.0,0.0,0.0,0.0,2056.5,1618.45,7468.6
2012-01-24 00:00:00+00:00,0.0,0.0,0.0,0.0,2062.5,1609.45,7468.6
2012-01-25 00:00:00+00:00,0.0,0.0,0.0,0.0,2077.45,1628.0,7468.6
2012-01-26 00:00:00+00:00,0.0,0.0,0.0,0.0,2074.0,1621.95,7468.6
2012-01-27 00:00:00+00:00,0.0,0.0,0.0,0.0,2072.5,1611.0,7468.6
2012-01-30 00:00:00+00:00,0.0,0.0,0.0,0.0,2066.5,1600.45,7468.6
2012-01-31 00:00:00+00:00,0.0,0.0,0.0,0.0,2066.0,1601.45,7468.6
2012-02-01 00:00:00+00:00,1364.95,0.0,0.0,1877.45,2072.95,1612.95,4256.1
2012-02-02 00:00:00+00:00,1368.5,0.0,0.0,1868.45,2070.5,1619.0,4256.1
2012-02-03 00:00:00+00:00,1385.95,0.0,0.0,1894.0,2112.95,1623.95,4256.1
2012-02-06 00:00:00+00:00,1386.5,0.0,0.0,1883.45,2108.45,1622.95,4256.1
2012-02-07 00:00:00+00:00,1389.95,0.0,0.0,1881.5,2118.45,1624.5,4256.1
2012-02-08 00:00:00+00:00,1398.45,0.0,0.0,1883.45,2123.5,1625.0,4256.1
2012-02-09 00:00:00+00:00,1412.0,0.0,0.0,1885.45,2127.0,1634.0,4256.1
2012-02-10 00:00:00+00:00,1401.5,0.0,0.0,1852.45,2115.5,1630.5,4256.1
2012-02-13 00:00:00+00:00,1410.45,0.0,0.0,1857.5,2132.5,1637.5,4256.1
2012-02-14 00:00:00+00:00,1413.0,0.0,0.0,1833.45,2129.95,1641.5,4256.1
2012-02-15 00:00:00+00:00,1405.5,0.0,0.0,1835.0,2120.5,1641.0,4256.1
2012-02-16 00:00:00+00:00,1426.0,0.0,0.0,1867.45,2129.5,1651.45,4256.1
2012-02-17 00:00:00+00:00,1426.0,0.0,0.0,1868.45,2147.95,1653.0,4256.1
2012-02-21 00:00:00+00:00,1431.95,0.0,0.0,1879.5,2140.5,1643.45,4256.1
2012-02-22 00:00:00+00:00,1427.0,0.0,0.0,1876.45,2135.0,1638.95,4256.1
2012-02-23 00:00:00+00:00,1432.5,0.0,0.0,1878.5,2145.5,1647.5,4256.1
2012-02-24 00:00:00+00:00,1441.0,0.0,0.0,1877.45,2143.0,1653.0,4256.1
2012-02-27 00:00:00+00:00,1443.5,0.0,0.0,1878.0,2155.5,1653.0,4256.1
2012-02-28 00:00:00+00:00,1454.0,0.0,0.0,1884.0,2167.45,1658.45,4256.1
2012-02-29 00:00:00+00:00,1447.5,0.0,0.0,1848.5,2159.45,1661.5,4256.1
2012-03-01 00:00:00+00:00,1456.0,746.0,3779.95,1869.0,2177.45,1659.0,-227.8
2012-03-02 00:00:00+00:00,1454.0,743.45,3736.95,1864.5,2176.0,1660.45,-227.8
2012-03-05 00:00:00+00:00,1441.5,740.45,3713.0,1834.45,2174.0,1668.0,-227.8
2012-03-06 00:00:00+00:00,1427.45,722.5,3652.5,1796.95,2139.95,1654.0,-227.8
2012-03-07 00:00:00+00:00,1438.0,731.45,3683.0,1801.45,2164.5,1656.5,-227.8
2012-03-08 00:00:00+00:00,1452.45,738.5,3713.0,1831.5,2186.5,1668.0,-227.8
2012-03-09 00:00:00+00:00,1459.0,744.5,3709.5,1831.95,2199.0,1673.5,-227.8
2012-03-12 00:00:00+00:00,1460.95,742.45,3688.95,1821.95,2193.0,1679.5,-227.8
2012-03-13 00:00:00+00:00,1489.95,771.0,3733.45,1852.0,2227.0,1692.0,-227.8
2012-03-14 00:00:00+00:00,1495.5,772.0,3697.45,1845.0,2224.0,1687.0,-227.8
2012-03-15 00:00:00+00:00,1499.5,785.45,3703.5,1858.45,2231.5,1689.95,-227.8
2012-03-16 00:00:00+00:00,1493.95,785.95,3740.0,1854.95,2217.45,1679.95,-227.8
2012-03-19 00:00:00+00:00,1505.0,789.95,3756.95,1866.5,2229.0,1680.95,-227.8
2012-03-20 00:00:00+00:00,1503.5,794.0,3700.5,1855.95,2232.5,1679.95,-227.8
2012-03-21 00:00:00+00:00,1502.95,790.45,3656.45,1855.95,2235.45,1682.5,-227.8
2012-03-22 00:00:00+00:00,1499.5,780.0,3574.0,1826.0,2229.95,1684.0,-227.8
2012-03-23 00:00:00+00:00,1499.5,786.45,3613.0,1845.5,2232.5,1687.95,-227.8
2012-03-26 00:00:00+00:00,1521.5,798.95,3640.0,1869.45,2268.0,1699.5,-227.8
2012-03-27 00:00:00+00:00,1521.0,791.45,3603.5,1865.5,2264.5,1698.5,-227.8
2012-03-28 00:00:00+00:00,1515.45,793.45,3558.45,1839.5,2245.0,1694.45,-227.8
2012-03-29 00:00:00+00:00,1512.5,785.45,3558.45,1842.0,2244.45,1694.0,-227.8
2012-03-30 00:00:00+00:00,1508.0,789.95,3587.5,1848.5,2254.5,1704.0,-227.8
2012-04-02 00:00:00+00:00,1524.0,795.95,3622.45,1874.5,2260.45,1717.45,-227.8
2012-04-03 00:00:00+00:00,1522.95,791.45,3591.0,1860.45,2255.95,1708.0,-227.8
2012-04-04 00:00:00+00:00,1505.0,778.95,3545.0,1834.45,2235.0,1702.45,-227.8
2012-04-05 00:00:00+00:00,1508.5,777.0,3525.0,1824.0,2250.45,1702.45,-227.8
2012-04-09 00:00:00+00:00,1497.95,764.95,3480.5,1797.5,2229.95,1687.0,-227.8
